api_names,,brand_sold_product,Cleaned Names,avg_price,count
,,,,,
Artemether / Lumefantrine,,6T,6T,200,3
Artemether / Lumefantrine,,96,96,0,3
Artemether / Lumefantrine,,ACT,ACT,67,30
Artemether / Lumefantrine,,ACT AL,ACT AL,50,66
Artemether / Lumefantrine,,ACTM,ACT,78,2122
Artemether / Lumefantrine,,AJANTA,AJANTA AL,125,77
Artemether / Lumefantrine,,AJANTA AL,AJANTA AL,60,7
Artemether / Lumefantrine,,AJANTA AL S,AJANTA AL S,84,18
Artemether / Lumefantrine,,AJANTA _VOUTURE PROGRAM,AJANTA AL,50,1
Artemether / Lumefantrine,,AJANTA VOUTURE PROGRAM,AJANTA AL,73,23
Artemether / Lumefantrine,,AL,AL,32,9960
Artemether / Lumefantrine,,A L,A L,36,126
Artemether / Lumefantrine,,AL 25KG,AL,50,73
Artemether / Lumefantrine,,AL 3,AL 3,37,58
Artemether / Lumefantrine,,AL 6,AL 3,47,35
Artemether / Lumefantrine,,A L AL,AL AL,97,3
Artemether / Lumefantrine,,AL AL,AL AL,100,3
Artemether / Lumefantrine,,AL DISPERSABLE,AL DISPERSABLE,55,2
Artemether / Lumefantrine,,ALFANTRINE,AL LUFENART,252,78
Artemether / Lumefantrine,,AL LUFENART,AL LUFENART,260,3
Artemether / Lumefantrine,,AL LUMERAX DT,AL LUMERAX DT,0,322
Artemether / Lumefantrine,,AL ORIGINAL,AL ORIGINAL,100,6
Artemether / Lumefantrine,,AL PRO FANTRINE FORTE,AL PRO FANTRINE FORTE,49,13
Artemether / Lumefantrine,,A L S,A L S,72,41
Artemether / Lumefantrine,,AL S,A L S,33,3476
Artemether / Lumefantrine,,AL S 4 8,A L S,50,100
Artemether / Lumefantrine,,AL S FALCIZE,AL S FALCIZE,150,2
Artemether / Lumefantrine,,AL SHAL ARTEM,AL SHAL ARTEM,4,6
Artemether / Lumefantrine,,AL SHALARTEM S,AL SHALARTEM S,29,46
Artemether / Lumefantrine,,AL SHARTEM,AL SHARTEM,4,5
Artemether / Lumefantrine,,AL S SHAL ARTEM,AL S SHAL ARTEM,4,5
Artemether / Lumefantrine,,AL SYUP,AL SYUP,150,31
Artemether / Lumefantrine,,ANTIMALARIAL,ANTIMALARIAL,100,252
Artemether / Lumefantrine,,ARTEFAN,ARTEFENTRINE AL,52,5063
Artemether / Lumefantrine,,ARTEFAN18,ARTEFENTRINE AL,0,1
Artemether / Lumefantrine,,ARTEFAN24,ARTEFENTRINE AL,100,1
Artemether / Lumefantrine,,ARTEFANDISPERSIBLE12,ARTEFENTRINE AL,75,4
Artemether / Lumefantrine,,ARTEFENTRINE AL,ARTEFENTRINE AL,4,173
Artemether / Lumefantrine,,ARTELART,ARTELART S,23,577
Artemether / Lumefantrine,,ARTELAT S,ARTELAT S,4,15
Artemether / Lumefantrine,,ARTEMETER LUMEFANTRINE,ARTEMETHER LUMEFANTRINE S,12,50
ARTEMETHER,,ARTEMETHER,ARTEMETHER,98,121
Artemether / Lumefantrine,,ARTEMETHER AND LUMEFANTIN,ARTEMETHER LUMEFANTRINE S,147,53
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRIN,ARTEMETHER LUMEFANTRINE S,350,8
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE,ARTEMETHER LUMEFANTRINE S,51,431
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE S,ARTEMETHER LUMEFANTRINE S,80,1
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE SY,ARTEMETHER LUMEFANTRINE S,120,25
Artemether / Lumefantrine,,ARTEMETHER LUMEFANTRINE SYM,ARTEMETHER LUMEFANTRINE S,183,3
Artemether / Lumefantrine,,ARTEMETHER LUMEGANTRINE,ARTEMETHER LUMEFANTRINE S,5,167
Artemether / Lumefantrine,,ARTEMETHER LUMERFETRIN,ARTEMETHER LUMEFANTRINE S,98,27
Artemether / Lumefantrine,,BLISS,BLISS,331,9
Artemether / Lumefantrine,,CARTER,CO CORITHER,52,82
Artemether / Lumefantrine,,CIPLA,CIPLA,19,55
Artemether / Lumefantrine,,COARINET,CO ARTESIANE,463,3
Artemether / Lumefantrine,,COARTEM,CO ARTESIANE,28,2243
Artemether / Lumefantrine,,COARTESIANE,CO ARTESIANE,700,1
Artemether / Lumefantrine,,CO ARTESIANE,CO ARTESIANE,458,46
Artemether / Lumefantrine,,CO CORITHER,CO CORITHER,189,8
Artemether / Lumefantrine,,COMALATHER,CO MALATHER,16,8
Artemether / Lumefantrine,,CO MALATHER,CO MALATHER,101,22
Artemether / Lumefantrine,,CO MALATHER AL,CO MALATHER AL,100,10
Artemether / Lumefantrine,,CO MALATHR,CO MALATHR,4,74
Artemether / Lumefantrine,,CO_MAX,CO MALATHR,4,55
Artemether / Lumefantrine,,COMAX DPS,CO MALATHR,150,35
Artemether / Lumefantrine,,DOSE,DOSE,4,98
Artemether / Lumefantrine,,ERITHER AL,ERITHER AL,4,32
Artemether / Lumefantrine,,ERITHER L,ERITHER L,120,61
Artemether / Lumefantrine,,FALCIZED,Falcized-L (80mg/480mg),100,1
Artemether / Lumefantrine,,GAME,GENERIC AL,46,4363
Artemether / Lumefantrine,,GENERIC,GENERIC AL,31,962
Artemether / Lumefantrine,,GENERIC AL,GENERIC AL,13,119
Artemether / Lumefantrine,,GENERIC APICA LTD,GENERIC APICA LTD,0,1
Artemether / Lumefantrine,,GENERIC IPICA LABORATORIES,GENERIC IPICA LABORATORIES,2,8
Artemether / Lumefantrine,,GENERIC S,GENERIC S,50,39
Artemether / Lumefantrine,,GVITHER,GVITHER PLUS 20/120,50,1
Artemether / Lumefantrine,,IPCA,IPCA,9,3355
Artemether / Lumefantrine,,IPICA,IPICA,2,2
Artemether / Lumefantrine,,L ARTEM,L ARTEM,55,999
Artemether / Lumefantrine,,LEMERAX,L ARTEM,0,19
Artemether / Lumefantrine,,LONART,LONART,47,38676
Artemether / Lumefantrine,,LONARTS,Lonart Ds Tab,5,132
Artemether / Lumefantrine,,LONEX,LONART,50,1
Artemether / Lumefantrine,,LONRT DUSPERSIBLE,LONART,30,14
Artemether / Lumefantrine,,LORNAT,LONART,8,503
Artemether / Lumefantrine,,LOYALTY,LOYALTY,90,3
Artemether / Lumefantrine,,LUFANART,LUFANART,139,119
Artemether / Lumefantrine,,LUFANATE,LUFANATE,50,42
Artemether / Lumefantrine,,LUFENART,LUFANATE,147,147
Artemether / Lumefantrine,,LUFENART AL,LUFENART AL,157,14
Artemether / Lumefantrine,,LUMARTEM,LUMARTEM DT,160,334
Artemether / Lumefantrine,,LUM_ARTEM,LUMARTEM DT,153,41
Artemether / Lumefantrine,,LUMARTEM DT,LUMARTEM DT,0,5
Artemether / Lumefantrine,,LUMARTEM FORTE,LUFENART AL,120,34
Artemether / Lumefantrine,,LUMATEM,LUFENART AL,165,39
Artemether / Lumefantrine,,LUMATERM,LUFENART AL,32,131
Artemether / Lumefantrine,,LUMATERM DT,LUMATERM DT,0,1
Artemether / Lumefantrine,,LUMEFAC,LUMERAT DT S,150,17
Artemether / Lumefantrine,,LUMERAT DT S,LUMERAT DT S,0,6
Artemether / Lumefantrine,,LUMERAX,LUMERAX DT,10,159
Artemether / Lumefantrine,,LUMERAXDT,LUMERAX DT,0,227
Artemether / Lumefantrine,,LUMERAX DT,LUMERAX DT,0,213
Artemether / Lumefantrine,,LUMERAX DT S,LUMERAX DT S,4,152
Artemether / Lumefantrine,,LUMESOF PLUS,LUMESOF PLUS,150,3
Artemether / Lumefantrine,,LUMESOFT PLUS,LUMESOFT PLUS,19,5
Artemether / Lumefantrine,,LUMET,LUMERAX DT,2,1220
Artemether / Lumefantrine,,LUMET ADULTS,LUMET ADULTS,0,78
Artemether / Lumefantrine,,LUMETHER DRY,LUMETHER DRY,150,17
Artemether / Lumefantrine,,LUMET S,LUMET S,0,661
Artemether / Lumefantrine,,LUMFENART,LUMITER DT,150,1
Artemether / Lumefantrine,,LUMIART,LUMITER DT,22,829
Artemether / Lumefantrine,,LUMITER,LUMET S,0,164
Artemether / Lumefantrine,,LUMITERDT,LUMITER DT,0,34
Artemether / Lumefantrine,,LUMITER DT,LUMITER DT,1,525
Artemether / Lumefantrine,,LUMITER DT S,LUMITER DT S,0,46
Artemether / Lumefantrine,,MACLEODS,MACLEODS,0,798
Artemether / Lumefantrine,,MALARATE,MALARATE,150,2
Artemether / Lumefantrine,,MALAREM,MALAREM,77,66
Artemether / Lumefantrine,,MALBETA,MALBETA,333,3
Artemether / Lumefantrine,,MALODAR,MALODAR,50,8
Artemether / Lumefantrine,,NOVARTIS,NOVARTIS,800,16
Artemether / Lumefantrine,,NOVATIS,NOVATIS,500,4
Artemether / Lumefantrine,,ORANGE FLAVOUR,ORANGE FLAVOUR,69,11
Artemether / Lumefantrine,,P ALAXIN,P ALAXIN,350,1
Artemether / Lumefantrine,,PRO FANTRINE FORTE,PRO FANTRINE FORTE,250,3
Artemether / Lumefantrine,,SHA ARTEM,SHA ARTEM,100,3
Artemether / Lumefantrine,,SHALARTEM,SHA ARTEM,96,18
Artemether / Lumefantrine,,SHAL ARTEM,SHAL ARTEM S,84,91
Artemether / Lumefantrine,,SHAL ARTEM FORTE,SHAL ARTEM S,281,9
Artemether / Lumefantrine,,SHAL ARTEM S,SHAL ARTEM S,50,11
Artemether / Lumefantrine,,SHALARTEM TEMRIN,SHA ARTEM,93,9
Artemether / Lumefantrine,,SHAR ARTEM,SHA ARTEM,60,2
Artemether / Lumefantrine,,TEMTRIN,TEMTRINE,12,51
Artemether / Lumefantrine,,TEMTRINE,TEMTRINE,150,1
Artemether / Lumefantrine,,VETENARY AL GLOVES,VETENARY AL GLOVES,15,4
Artemether / Lumefantrine,,WINART,WINART,120,19
Artemether / Lumefantrine,,WINART FORTE,WINART FORTE,146,217
